circuit_id,qubit,sparsity_by_layer,sparsity_by_time,mean_dt,sd_dt,hellinger_fidelity_no_dd,hellinger_fidelity_dd
1,28,0.31818181818181823,0.799265606,217.67,121.86,0.9786339956587042,0.9777093144710202
1,29,0.073170732,0.16584967320261434,135.33,180.08,0.9786339956587042,0.9777093144710202
1,30,0.6923076923076923,0.9101449275362319,418.67,347.6,0.9786339956587042,0.9777093144710202
1,36,0.29268292682926833,0.44076797385620914,269.75,127.4,0.9786339956587042,0.9777093144710202
1,48,0.641025641,0.8920289855072464,615.5,225.5,0.9786339956587042,0.9777093144710202
2,55,0.375,0.27869897959183676,145.67,122.98,0.9947916909485629,0.9959552443073739
2,65,0.23076923076923073,0.26748740906547286,68.29,137.99,0.9947916909485629,0.9959552443073739
2,66,0.4,0.771665411,146.29,101.47,0.9947916909485629,0.9959552443073739
3,17,0.8666666666666667,0.8391629599676507,830.1,999.33,0.8769036351362277,0.8791983205244701
3,27,0.5906432748538012,0.5400296515937731,448.31,525.74,0.8769036351362277,0.8791983205244701
3,28,0.46464646464646464,0.4943084050297816,414.94,585.75,0.8769036351362277,0.8791983205244701
3,29,0.2184466019417476,0.23780111179740582,220,452.85,0.8769036351362277,0.8791983205244701
3,30,0.7616580310880829,0.8481662180349933,630.19,739.98,0.8769036351362277,0.8791983205244701
3,36,0.6338028169014085,0.6570340501792115,549.94,924.5,0.8769036351362277,0.8791983205244701
3,48,0.8309859154929577,0.875,1171.8,1607.42,0.8769036351362277,0.8791983205244701
4,36,0.76,0.7549134511359539,540.23,770.25,0.3958457569013993,0.40660900647529585
4,46,0.46894409937888204,0.4320415955804696,322.3,495.86,0.3958457569013993,0.40660900647529585
4,47,0.4049079754601227,0.45922634605331936,351.4,371.45,0.3958457569013993,0.40660900647529585
4,48,0.23547400611620795,0.2163492729840094,218.04,270.55,0.3958457569013993,0.40660900647529585
4,49,0.5723270440251572,0.6165062700495771,487.85,641.07,0.3958457569013993,0.40660900647529585
4,50,0.5603715170278638,0.6061371675318112,527.8,923.15,0.3958457569013993,0.40660900647529585
4,51,0.8068535825545171,0.8848920863309353,977.53,1388.35,0.3958457569013993,0.40660900647529585
4,55,0.6780185758513932,0.5644993602047346,588.21,768.5,0.3958457569013993,0.40660900647529585
4,65,0.6604361370716512,0.6321882891038163,884.6,901.51,0.3958457569013993,0.40660900647529585
4,66,0.8244514106583072,0.8449205799396309,1067.19,1348.39,0.3958457569013993,0.40660900647529585
5,58,0.7345971563981042,0.8497369679579149,323.05,324.22,0.8844443834318514,0.8640007742364779
5,59,0.1640625,0.16764650989175067,85.55,132,0.8844443834318514,0.8640007742364779
5,60,0.4129429892141756,0.4525200876552228,162.49,181.23,0.8844443834318514,0.8640007742364779
5,61,0.7289433384379785,0.7585866738409112,296.81,333.97,0.8844443834318514,0.8640007742364779
5,72,0.7192118226600985,0.6225364017057897,284.28,311.08,0.8844443834318514,0.8640007742364779
6,28,0.7396373056994818,0.8385274564808054,357.72,502.42,0.8931430740614783,0.8852852274821185
6,29,0.1696428571428571,0.15006777998903986,86.72,190.35,0.8931430740614783,0.8852852274821185
6,30,0.6978891820580475,0.8332151858853182,346.84,342.96,0.8931430740614783,0.8852852274821185
6,36,0.40102171136653897,0.3499314489075581,187.44,276.17,0.8931430740614783,0.8852852274821185
6,48,0.7089262613195343,0.7838564343315791,318.52,374.62,0.8931430740614783,0.8852852274821185
GHZ_2,51,0.33333333333333337,0.47044917257683216,398,0,0.975454966,0.970677689
GHZ_2,52,0.1428571428571429,0.31553398058252424,390,0,0.975454966,0.970677689
GHZ_5,45,0.6,0.800178412,897,507,0.9081718248091644,0.9237117154590959
GHZ_5,46,0.5,0.7354211663066954,681,283,0.9081718248091644,0.9237117154590959
GHZ_5,55,0.36363636363636365,0.6325678496868476,454.5,31.5,0.9081718248091644,0.9237117154590959
GHZ_5,65,0.2222222222222222,0.2970822281167109,448,0,0.9081718248091644,0.9237117154590959
GHZ_5,66,0.33333333333333337,0.4718446601941747,486,0,0.9081718248091644,0.9237117154590959
GHZ_7,43,0.7142857142857143,0.8641188959660298,1424.5,1034.5,0.8570667752005408,0.8571988152728187
GHZ_7,44,0.65,0.8314413484692122,1208.5,810.5,0.8570667752005408,0.8571988152728187
GHZ_7,45,0.5882352941176471,0.793338684,988.5,565.5,0.8570667752005408,0.8571988152728187
GHZ_7,46,0.5,0.736842105,756,308,0.8570667752005408,0.8571988152728187
GHZ_7,55,0.36363636363636365,0.6357908002520478,504.5,31.5,0.8570667752005408,0.8571988152728187
GHZ_7,65,0.2222222222222222,0.30036188178528345,498,0,0.8570667752005408,0.8571988152728187
GHZ_7,66,0.33333333333333337,0.47433628318584076,536,0,0.8570667752005408,0.8571988152728187
GHZ_13,17,0.8461538461538461,0.9367189577240096,3523,3133,0.7253400446203389,0.7047365690432142
