iteration,job_id,Qubit,shots,ideal_counts,simulated_counts,none,asap,alap,asap+dd+xx,alap+dd+xx,alap+dd+xpxm,asap+dd+xpxm,asap+dd+xy,alap+dd+xy,hellinger_fidelity(ideal),hellinger_fidelity(simulated)
0,d4slsksfitbs739j43k0,7,4096,"{'1111111': 2048, '0000000': 2048}","{'1111111': 2153, '0000000': 1943}","{'0000000': 1928, '0100000': 15, '1111111': 1668, '0001000': 18, '1110111': 64, '1011101': 1, '0000011': 5, '1111011': 11, '1111110': 65, '0001111': 20, '0000111': 29, '1111000': 29, '0001101': 1, '0011111': 40, '0111111': 19, '1011111': 31, '1101000': 1, '0000100': 3, '1110000': 20, '1101111': 12, '1111101': 27, '1110011': 1, '0111110': 2, '0001100': 1, '0000001': 19, '1111100': 4, '1110110': 3, '1100000': 23, '1111001': 3, '1000000': 15, '0010111': 1, '0001110': 2, '1110101': 1, '0000110': 1, '0100010': 1, '0010000': 3, '0100111': 1, '0100001': 1, '0000101': 1, '0001011': 1, '0110111': 2, '0111011': 1, '1100111': 1, '0000010': 1}","{'1111111': 1665, '0000000': 1879, '0000010': 6, '0011111': 16, '1111110': 59, '1100000': 29, '1110111': 58, '1111101': 34, '1011111': 25, '0000100': 15, '1000000': 27, '0001000': 28, '0111111': 26, '1010111': 2, '0000111': 29, '0001111': 21, '0000001': 34, '1111011': 15, '0000011': 7, '1111000': 25, '1101111': 24, '1101110': 2, '1110000': 27, '0100000': 7, '1111100': 8, '1100111': 1, '1110001': 1, '1011000': 1, '1011110': 2, '0010000': 1, '0110111': 3, '0010111': 2, '0011110': 2, '0000110': 2, '0000101': 1, '0111110': 3, '1110110': 3, '1010000': 1, '0101110': 1, '1101000': 1, '0011100': 1, '1110101': 1, '1101101': 1}","{'0000000': 1907, '1111111': 1672, '0001111': 15, '1110000': 31, '0000111': 30, '0000001': 25, '0000011': 13, '0111111': 34, '1111100': 7, '1111101': 29, '1100000': 21, '0011111': 35, '1110111': 46, '1111110': 68, '1011111': 29, '1111011': 15, '1110110': 6, '1101111': 14, '0011110': 4, '0001000': 21, '0100000': 23, '1000000': 13, '0000100': 4, '0000010': 1, '1111000': 14, '1010111': 2, '0011101': 1, '1100001': 1, '1100111': 1, '0001110': 1, '1110001': 3, '0111101': 2, '0010000': 1, '1110011': 1, '0111011': 1, '0100111': 1, '0110111': 1, '1101000': 1, '0000110': 1, '0000101': 1}","{'0000000': 1805, '1011000': 1, '1111111': 1638, '1110111': 55, '0000001': 43, '1110000': 26, '0011111': 38, '0010000': 6, '0001111': 33, '1100000': 35, '1101111': 8, '1111101': 72, '1111011': 15, '0100000': 13, '1111110': 47, '0000100': 14, '0000111': 32, '1011111': 37, '0000011': 9, '0001000': 15, '0111111': 24, '1000000': 21, '0010111': 2, '0000010': 35, '1111000': 28, '1011110': 3, '1100100': 1, '1100010': 1, '0111110': 2, '1111100': 10, '0110111': 4, '1001111': 1, '0011000': 2, '1111010': 2, '0011101': 1, '1111001': 2, '0000101': 4, '0000110': 1, '0110000': 1, '0001101': 3, '1010111': 1, '1110101': 1, '1011011': 1, '1100001': 1, '0011110': 1, '0101000': 1}","{'1111111': 1602, '0000000': 1857, '0000001': 42, '1111100': 6, '1111101': 67, '0001111': 30, '0000111': 33, '1110111': 60, '1111011': 20, '1000000': 19, '1011111': 36, '0011111': 40, '0000011': 12, '0000010': 26, '1111110': 53, '0001000': 13, '1110000': 28, '0111111': 28, '0000100': 11, '0100000': 11, '1101111': 20, '1111000': 22, '1011110': 4, '1110110': 1, '1100000': 28, '1111001': 2, '0111000': 1, '0001101': 1, '0001110': 1, '0000101': 2, '0010000': 3, '0011101': 1, '1111010': 2, '1100111': 2, '0001100': 1, '1000111': 1, '0111101': 2, '0001001': 1, '1011011': 1, '1110010': 1, '0111011': 1, '1110011': 1, '1100010': 1, '1011100': 1, '1011101': 1}","{'1111111': 1615, '0000000': 1880, '0000011': 14, '1100000': 19, '1101111': 9, '0011111': 43, '0100000': 16, '1111101': 61, '1110111': 56, '1111011': 21, '0111111': 31, '1011111': 34, '0000101': 5, '0000100': 7, '1110000': 19, '1111100': 7, '0000010': 29, '0111011': 1, '1111110': 58, '1111000': 22, '0010000': 4, '0010100': 1, '0000001': 39, '1000010': 1, '0001101': 1, '0001111': 18, '1000000': 11, '0010101': 1, '0000111': 23, '1101000': 2, '1001111': 1, '1110110': 3, '0001000': 17, '1110101': 3, '1011101': 2, '1110001': 1, '0000110': 3, '1100111': 2, '1101101': 1, '0110101': 1, '0100011': 1, '1111001': 2, '0010111': 2, '0111110': 1, '0001110': 1, '1010111': 2, '1101011': 2, '0011011': 1, '1110010': 1, '0011101': 1}","{'0000000': 1833, '1111111': 1622, '1100000': 28, '1110111': 59, '1111110': 53, '0000111': 32, '0111111': 27, '1111000': 25, '1111100': 4, '0000101': 4, '0000001': 40, '1110000': 24, '1001000': 2, '0000011': 11, '1111101': 72, '0011111': 46, '0001000': 20, '1011111': 33, '0001111': 25, '0000010': 33, '1011101': 2, '1101111': 11, '1111001': 1, '0100000': 13, '0011110': 3, '1000000': 23, '1111011': 11, '0001011': 1, '0100011': 1, '1110110': 3, '1111010': 2, '0001010': 2, '0000100': 12, '1110101': 1, '1100111': 1, '1000111': 1, '1011000': 1, '1101000': 1, '0001101': 1, '0010000': 4, '0000110': 3, '0001110': 1, '0011000': 1, '0111011': 1, '0110000': 1, '0010111': 1}","{'1111111': 1642, '0000000': 1892, '0111111': 21, '1110011': 1, '1111110': 47, '1010111': 3, '0000001': 42, '0000111': 31, '1010000': 2, '0001000': 30, '1110111': 57, '0001111': 27, '1000000': 15, '0011111': 40, '1111011': 15, '0001001': 2, '0000010': 15, '1100000': 32, '0101010': 1, '1011111': 28, '1110000': 13, '0000100': 8, '0000011': 26, '1101111': 14, '0100000': 15, '1111000': 17, '1111100': 11, '0100001': 2, '0010111': 2, '1111101': 20, '0000101': 2, '0010000': 5, '1011101': 1, '0011110': 1, '1100001': 1, '0001110': 1, '1100111': 1, '1110110': 2, '0001101': 2, '1101000': 1, '1111010': 1, '1000010': 1, '1110010': 1, '1110001': 1, '0001011': 1, '1011110': 1, '0101000': 1, '0111000': 1}","{'1111111': 1707, '0000000': 1827, '0010111': 6, '0111111': 27, '1000000': 19, '1011111': 35, '0000011': 13, '1111000': 30, '1111110': 50, '0000001': 35, '0000111': 26, '0001000': 21, '1111101': 31, '1111011': 15, '0001111': 32, '1101111': 11, '0011111': 32, '1110111': 43, '0011101': 1, '1100010': 1, '0100000': 12, '1010000': 1, '1110000': 21, '1000001': 2, '0000010': 23, '0011000': 2, '0010000': 6, '0101000': 2, '0001001': 3, '1011110': 2, '1100000': 22, '0000101': 2, '1111100': 8, '0000100': 7, '0100001': 1, '0000110': 1, '0110000': 1, '1100111': 1, '1001001': 1, '1001110': 1, '1000100': 1, '1111010': 1, '0110111': 2, '1110011': 2, '0001011': 1, '1101000': 1, '1110110': 3, '1001000': 1, '0011110': 1, '1110101': 1, '1011000': 1}","[0.9993424263882965, 0.8767808045734468, 0.8644449510150116, 0.8728364895602589, 0.840081483570755, 0.843333471858235, 0.8520433378731447, 0.8427186279367492, 0.8617121872682295, 0.8625441968934803]","[0.8745778053258384, 0.8625377175627317, 0.8707924106727707, 0.8384842260033166, 0.8411837591766259, 0.8498253650139873, 0.8408444551625485, 0.859581636841027, 0.8612261556523135]"
0,d4slsls5fjns73d2jje0,8,4096,"{'11111111': 2048, '00000000': 2048}","{'11111111': 2074, '00000000': 2022}","{'11111111': 1573, '00000000': 1931, '11101111': 55, '10111111': 37, '11110000': 20, '00001011': 1, '00000100': 3, '11111101': 42, '00011111': 24, '11111100': 17, '11110111': 14, '10111110': 2, '11011111': 14, '00000001': 11, '01000000': 15, '11111011': 28, '00001111': 34, '11111110': 50, '10000000': 18, '01111111': 32, '00010000': 21, '00111111': 42, '11000000': 22, '10110111': 1, '11100000': 22, '10101111': 2, '00000011': 19, '10110000': 2, '11111010': 1, '00011101': 2, '11101101': 1, '11101110': 4, '10111011': 2, '11010000': 1, '11100111': 1, '00000111': 5, '01001111': 1, '00011011': 2, '01101111': 1, '11111000': 3, '10111101': 2, '11001111': 1, '00001000': 3, '11000001': 1, '00101111': 2, '00100000': 2, '00000010': 2, '11110110': 1, '11000011': 1, '00001101': 2, '01111011': 1, '01100000': 1, '00001100': 1}","{'11111111': 1564, '00000000': 1832, '00111111': 20, '01111111': 29, '11111110': 48, '11101111': 49, '11100000': 32, '11110111': 16, '00000011': 42, '00011111': 20, '00000111': 7, '11010000': 1, '10000000': 20, '00001111': 45, '00001000': 8, '00000001': 13, '11111101': 53, '00000100': 5, '01111100': 2, '11110000': 29, '11000000': 52, '11011111': 22, '00010000': 21, '10111111': 41, '11111011': 30, '00000010': 4, '10100000': 1, '10110111': 3, '00100000': 6, '10111101': 5, '00111110': 1, '01000000': 12, '11111000': 4, '00110000': 1, '11110110': 1, '11111100': 19, '11110011': 2, '00001101': 2, '01100000': 2, '10000001': 1, '00000101': 1, '00001100': 2, '01010000': 1, '00101111': 3, '00010001': 2, '01110111': 1, '11000011': 1, '00111101': 1, '11111010': 1, '10000011': 1, '00111011': 2, '11011011': 1, '00111100': 3, '00010011': 1, '00000110': 2, '11101101': 2, '10110000': 1, '10111011': 1, '01011111': 1, '01111011': 1, '11100001': 1, '00001110': 1}","{'00000000': 1882, '11111111': 1671, '11011111': 8, '11111000': 7, '00000111': 7, '00000011': 22, '01000000': 14, '00000001': 7, '11111101': 53, '10000000': 15, '11101111': 44, '11111011': 37, '11111110': 51, '00011111': 17, '00111111': 33, '00001111': 20, '11111100': 13, '01111111': 23, '00101111': 3, '11110000': 22, '11100000': 20, '00010000': 14, '11000000': 24, '10111011': 1, '10111101': 2, '01100000': 2, '00010001': 1, '00000010': 2, '10111111': 32, '00100000': 3, '00111011': 1, '11111010': 1, '01101111': 2, '00001100': 2, '01001000': 1, '11100111': 2, '11110111': 11, '10110000': 1, '11101011': 2, '01111110': 1, '00001011': 1, '11000111': 1, '10111000': 2, '11110011': 1, '00111110': 2, '00100011': 1, '11101100': 1, '00011110': 1, '00111101': 1, '11110100': 1, '11111001': 1, '11101110': 1, '00000100': 2, '00001000': 2, '11011011': 1, '00110111': 1, '01110011': 1, '10111001': 1}","{'00000000': 1823, '01000000': 14, '11111111': 1587, '00000011': 38, '11110111': 13, '11100000': 31, '00001111': 31, '10000000': 24, '10111111': 23, '01111111': 26, '11110000': 28, '11011111': 7, '00111111': 30, '10101111': 1, '11111011': 45, '00010000': 17, '11101111': 48, '11111100': 18, '11100111': 3, '11000000': 25, '00000100': 33, '11111110': 40, '00011111': 29, '00001000': 12, '10110000': 1, '01111110': 2, '11111101': 43, '00111110': 2, '11101101': 1, '00000001': 22, '00100000': 5, '00011011': 2, '10111110': 3, '00000111': 7, '01111000': 1, '01101111': 2, '00011100': 1, '00001011': 4, '00000010': 13, '11011110': 1, '11111000': 8, '11111010': 4, '11110110': 1, '10000100': 2, '00011101': 3, '01101011': 1, '11101011': 1, '11101100': 2, '00000110': 2, '11110011': 1, '10111011': 1, '11000111': 1, '11011101': 1, '00000101': 1, '00100001': 1, '11000100': 1, '01111011': 1, '00001100': 1, '10001100': 1, '11101110': 1, '00001110': 1, '10111101': 1, '10100000': 1, '11110010': 1, '11010000': 1}","{'00000000': 1856, '11111111': 1595, '11110111': 17, '00111111': 34, '11111011': 60, '01000000': 13, '01111011': 1, '10000000': 21, '01111111': 22, '11111101': 28, '00010000': 20, '00001111': 27, '10111111': 17, '00000011': 20, '00000010': 17, '11110000': 24, '00000100': 42, '11111110': 42, '11101111': 45, '00011111': 30, '11110010': 1, '11000001': 1, '11101110': 3, '00000111': 10, '11010000': 2, '11111001': 2, '00010100': 1, '00000001': 23, '00010011': 1, '11100000': 15, '10000001': 1, '11011111': 12, '00001000': 13, '11101010': 1, '11000000': 18, '01111101': 1, '11001111': 1, '11111010': 1, '00100000': 7, '11111100': 13, '01101111': 1, '11111000': 5, '00011011': 2, '00111110': 1, '01111110': 1, '10101111': 1, '00001101': 1, '11101101': 2, '00100100': 1, '11010111': 1, '00001011': 4, '00111001': 1, '10111101': 1, '11110011': 2, '00111011': 1, '11110101': 1, '00001001': 1, '00011100': 1, '00101111': 2, '11100100': 1, '11000100': 1, '00000101': 1, '00001100': 1, '11001110': 1, '00111101': 1, '10110000': 1, '11011011': 1}","{'11011101': 1, '11111111': 1628, '00000000': 1810, '10111111': 35, '11001111': 1, '00011110': 1, '11011111': 16, '11101111': 59, '11111110': 49, '11100000': 24, '00001000': 5, '11111011': 55, '00001101': 1, '01111111': 23, '00000001': 29, '11111101': 24, '00011111': 23, '00000100': 37, '00111111': 30, '00001111': 27, '11110000': 25, '10000000': 15, '11111100': 11, '01000000': 10, '00000011': 16, '11111010': 1, '11010000': 2, '00001011': 2, '00010000': 17, '11110111': 12, '11000000': 24, '00010111': 1, '00111101': 3, '11111001': 3, '00000111': 6, '11010111': 1, '00010001': 1, '00011101': 3, '10101011': 1, '11011011': 1, '11111000': 6, '01111101': 1, '00000110': 3, '00000010': 18, '11101110': 3, '01000100': 1, '11101011': 3, '10010000': 1, '00100000': 5, '01110111': 1, '11011110': 1, '11110110': 1, '11000010': 1, '10000010': 1, '00101111': 1, '11100001': 1, '11101101': 1, '00001100': 1, '11000100': 2, '11100111': 1, '11110011': 1, '00111110': 1, '00001110': 1, '01111110': 1, '01111011': 3, '00011011': 1, '01101011': 1, '10111011': 1}","{'00000000': 1790, '11111111': 1588, '11111011': 58, '11111000': 12, '11100010': 1, '11000000': 35, '11101111': 62, '00111111': 34, '11111110': 38, '01111111': 33, '11111100': 15, '00011111': 19, '00001111': 34, '11100000': 40, '00000001': 27, '10000000': 18, '11111101': 30, '10111011': 1, '10111111': 29, '00010000': 20, '00000010': 20, '11110000': 22, '00000111': 8, '00000100': 41, '01111011': 2, '11011111': 14, '01100000': 1, '00000011': 27, '11011101': 2, '01000000': 12, '00001000': 8, '11110111': 17, '00100000': 3, '10000001': 1, '01111101': 3, '11101101': 1, '00111011': 2, '10111110': 3, '00001011': 3, '00110000': 2, '11011110': 1, '11110100': 1, '00101111': 2, '11101110': 1, '00011011': 1, '11100111': 1, '11111001': 1, '00000110': 2, '00001100': 1, '01110000': 1, '00001110': 1, '11001111': 1, '11110001': 1, '11110011': 1, '01100111': 1, '11111010': 1, '11110010': 1, '10000100': 1}","{'11100001': 1, '00000000': 1816, '11111111': 1601, '11101111': 64, '11111100': 37, '00000100': 18, '11011111': 8, '11000000': 34, '11110011': 1, '11111011': 26, '11111101': 39, '10111111': 36, '00000011': 53, '11100000': 27, '11101100': 1, '11111110': 34, '11110000': 24, '01111111': 24, '11111000': 8, '00111111': 39, '00111011': 1, '00011111': 28, '00001111': 20, '00000001': 23, '00000010': 18, '11110111': 13, '10000000': 9, '01000000': 17, '11101101': 2, '00001100': 1, '00100000': 5, '00000111': 7, '00010000': 19, '10011111': 1, '01001111': 1, '00001000': 6, '00010011': 1, '11110001': 1, '11101110': 2, '01000100': 1, '10111100': 1, '11101000': 1, '11001000': 1, '00001011': 1, '11100011': 1, '00111010': 1, '00000110': 2, '00001110': 3, '10111110': 1, '01111110': 2, '01010000': 1, '00110000': 1, '11101011': 1, '00001101': 3, '00111101': 2, '11100010': 1, '00101111': 1, '01100000': 1, '00011110': 1, '01111100': 1, '01101111': 1, '01000001': 1}","{'11111111': 1602, '00000000': 1896, '11111100': 15, '00011111': 20, '00000111': 15, '11111011': 28, '11110000': 31, '11111101': 28, '10000000': 10, '11101111': 62, '11111110': 38, '11011101': 1, '00000011': 18, '11100000': 29, '11101011': 1, '11000000': 25, '00000100': 22, '01000000': 11, '10111111': 26, '11110111': 16, '10110111': 2, '00100000': 5, '00111111': 34, '01111111': 23, '00001111': 28, '00000001': 24, '11011111': 13, '00010000': 16, '00001000': 4, '01101111': 1, '11111000': 2, '00111101': 3, '01111110': 2, '01111101': 2, '11110011': 1, '11101000': 1, '01001111': 2, '00001100': 1, '00001011': 1, '11010000': 2, '11000011': 1, '00101111': 2, '00000010': 10, '01010000': 1, '10111110': 2, '11000100': 1, '00000101': 1, '11100100': 1, '10001111': 1, '01110000': 2, '01000011': 1, '11110101': 1, '10101111': 1, '00110111': 1, '00100100': 1, '10101101': 1, '10111101': 1, '10101011': 1, '00000110': 1, '11111010': 1, '10000011': 1, '00001101': 1, '00111110': 1}","[0.9999597056364962, 0.8532304421185956, 0.8278086780086688, 0.8666661617973329, 0.831521439036269, 0.8413227658706528, 0.8387670025109761, 0.8239691067618559, 0.8334020163333182, 0.8524930472781131]","[0.8526413518986303, 0.8273600489160481, 0.8663042797992173, 0.8311222395262918, 0.8408844368022537, 0.8384511794612772, 0.8236228915909892, 0.8330352782684957, 0.8520031395878189]"
