iteration,job_id,Qubit,shots,ideal_counts,simulated_counts,no_dd_counts,dd_xx_counts,dd_xpxm_counts,hellinger_fidelity(ideal),hellinger_fidelity(simulated)
0,d4mttok7eg9s7398rrng,7,4096,{'1111111': 4096},{'1111111': 4096},"{'1010111': 6, '1111111': 3365, '1111110': 144, '1011111': 55, '1100110': 23, '0011110': 12, '1111000': 8, '1110111': 111, '1111011': 36, '0111110': 10, '1101111': 37, '0011111': 24, '1111100': 22, '0111111': 65, '1111101': 47, '1101101': 2, '1100111': 12, '1001111': 3, '1011110': 18, '1001110': 4, '1110101': 3, '1111010': 6, '0111101': 2, '1110110': 20, '0100110': 3, '1100011': 2, '1101110': 10, '1111001': 8, '1110100': 1, '0111011': 3, '0001111': 1, '1110010': 3, '1011101': 1, '0001110': 3, '0011101': 1, '1110011': 11, '0101111': 5, '1011001': 1, '0111100': 1, '1100101': 1, '1110001': 1, '1000110': 2, '0101110': 1, '1010110': 1, '0000111': 1}","{'1111111': 3438, '1111110': 128, '0111111': 45, '1111100': 20, '1111001': 9, '1101011': 1, '1111101': 46, '1101111': 27, '1101110': 10, '1110011': 10, '1011111': 59, '1110111': 116, '0111110': 9, '1001110': 3, '1110110': 19, '1110101': 2, '1111011': 43, '0000100': 1, '0011111': 11, '1010111': 6, '0011110': 8, '0111101': 3, '0110011': 1, '1111000': 20, '1110010': 7, '0110111': 2, '1001111': 3, '1100110': 7, '0000111': 1, '1111010': 10, '1100111': 6, '1000111': 1, '0011010': 1, '1011110': 7, '0011101': 1, '0001011': 1, '1101010': 2, '0001110': 2, '0011001': 1, '0111001': 1, '1011011': 1, '1011100': 3, '0111100': 1, '0111000': 1, '1101100': 1, '1110100': 1}","{'1111111': 3389, '1101111': 25, '1111011': 43, '1110111': 108, '1011111': 54, '1111110': 139, '1110110': 22, '1101110': 21, '0111111': 45, '1110011': 17, '1111101': 60, '1111001': 11, '1100111': 5, '1100110': 8, '1011110': 16, '1111100': 29, '0111110': 12, '1111010': 10, '1110010': 7, '1010111': 5, '0011111': 6, '1110101': 3, '1101100': 1, '1011010': 1, '0011110': 12, '1111000': 17, '1100011': 2, '1001111': 5, '0110110': 2, '0110011': 1, '1000011': 1, '1001110': 2, '0011100': 1, '0111011': 1, '0110111': 2, '1011101': 1, '1100000': 1, '1011011': 1, '1010110': 1, '0011101': 1, '1000110': 1, '0010010': 1, '0111000': 1, '0101111': 1, '1100010': 1, '1101011': 2, '1100101': 1}","[1.0, 0.821533203125, 0.83935546875, 0.8273925781250001]","[0.821533203125, 0.83935546875, 0.8273925781250001]"
0,d4mttpg6ggmc738rnjl0,8,4096,{'11111111': 4096},{'11111111': 4096},"{'11111111': 3286, '11011111': 68, '11111110': 177, '11101111': 39, '11011011': 2, '11110111': 66, '11110011': 23, '11111101': 61, '00011111': 6, '11100110': 13, '11111100': 24, '11011110': 15, '11111010': 15, '01111001': 3, '00111011': 1, '10111111': 45, '01011111': 8, '10011111': 8, '11100010': 2, '11111000': 7, '00111111': 10, '11111011': 33, '01111111': 63, '01111110': 11, '11110110': 12, '11110000': 1, '11110100': 2, '00111110': 9, '11100111': 5, '10111110': 9, '11001111': 12, '11111001': 8, '00001110': 1, '00101110': 1, '11010010': 1, '11110001': 2, '11110101': 4, '01011110': 1, '11001101': 1, '11000111': 1, '11101110': 8, '01111100': 2, '11100011': 2, '11110010': 5, '10111011': 3, '11001110': 5, '11010111': 2, '00101010': 1, '11101101': 1, '11101011': 1, '00111101': 1, '01110010': 1, '11011001': 1, '11101000': 1, '01111101': 1, '01110110': 1, '00010110': 1, '10011001': 1, '10110110': 1, '11011100': 1}","{'11111111': 3289, '10111111': 55, '11111101': 62, '11011110': 14, '11111110': 219, '01111111': 56, '01111101': 2, '11110111': 49, '01111110': 7, '11111011': 39, '00111111': 5, '11011111': 70, '11110110': 22, '11101111': 26, '00111101': 1, '11101110': 7, '01011111': 5, '11111000': 14, '10011111': 8, '11110011': 8, '11111010': 18, '11111100': 20, '11111001': 23, '11100110': 4, '10011110': 7, '11100111': 7, '10101110': 1, '11101011': 2, '00111110': 4, '11101010': 2, '11001111': 7, '11010111': 2, '11100000': 1, '11110101': 1, '11110010': 7, '11011101': 1, '01101110': 1, '01001110': 1, '10111110': 6, '00111011': 1, '01110111': 2, '11001110': 1, '11110100': 2, '11001011': 3, '11110001': 2, '11010110': 1, '01101111': 1, '00011111': 1, '01011110': 2, '10111011': 1, '01111100': 1, '01111010': 1, '11100101': 1, '10011101': 1, '11101101': 1, '10111100': 1}","{'11111111': 3296, '11111010': 21, '00111111': 9, '11111110': 206, '11110110': 24, '11101110': 10, '01111110': 10, '11011111': 70, '11100111': 10, '10011111': 10, '01111111': 58, '11110111': 43, '10111111': 43, '11111011': 37, '10111101': 3, '11111101': 62, '11101011': 2, '11011101': 2, '11110101': 3, '11111001': 12, '11011110': 19, '11110010': 4, '11001111': 9, '11110011': 6, '10111110': 11, '11011011': 3, '11101111': 28, '11001110': 12, '10101111': 1, '11011100': 2, '11111100': 29, '00111110': 5, '11100110': 6, '11111000': 10, '01100110': 1, '10110111': 1, '11101100': 1, '11101101': 1, '01001110': 1, '01110111': 1, '00111100': 1, '01011110': 1, '01111011': 1, '00111011': 2, '10111100': 2, '10011110': 1, '10011101': 1, '11011010': 1, '10011100': 1, '01111001': 1, '11100011': 1, '11010111': 1}","[1.0, 0.80224609375, 0.802978515625, 0.8046875]","[0.80224609375, 0.802978515625, 0.8046875]"
0,d4mttq9n1t7c73dgrb7g,9,4096,{'111111111': 4096},{'111111111': 4096},"{'111111110': 263, '111111111': 2925, '111011111': 96, '111111011': 164, '111101111': 35, '110111111': 48, '100111110': 5, '111111000': 14, '111110101': 4, '111111101': 80, '111111100': 31, '111110110': 13, '011111111': 41, '101111111': 33, '001111110': 10, '111111010': 24, '111100111': 11, '111110011': 9, '001111111': 10, '101011111': 2, '011111110': 16, '110111101': 2, '110111110': 24, '111110111': 28, '100101110': 1, '111111001': 12, '111011010': 2, '111011100': 4, '111110010': 7, '110011110': 15, '110010110': 1, '111001111': 8, '111011110': 21, '111101110': 8, '111011011': 9, '111100110': 7, '000111111': 3, '111110100': 5, '111011101': 6, '000011010': 1, '111001110': 10, '101111110': 15, '010011111': 1, '100011111': 1, '000111110': 3, '010111111': 8, '101111011': 4, '111001010': 1, '011011110': 2, '001111010': 1, '001100110': 1, '011100111': 1, '111101011': 2, '110111011': 5, '111000011': 1, '100111111': 3, '001100111': 1, '110011101': 1, '111100101': 1, '101101110': 1, '100111100': 2, '111101100': 2, '111011000': 1, '110110111': 1, '011011111': 2, '011111011': 1, '110011111': 2, '111100100': 1, '111110001': 1, '011111010': 1, '110111100': 2, '001011111': 1, '110001110': 2, '111101101': 3, '101110111': 1, '000111011': 1, '101111001': 1, '101111101': 1, '011101110': 2, '101110101': 1, '011001110': 2, '010111110': 3, '111000110': 1}","{'111111011': 146, '111100111': 21, '111111111': 2892, '111111101': 71, '111111100': 170, '111010111': 2, '111111000': 33, '001011001': 1, '111011111': 103, '111110000': 3, '111111110': 195, '111110111': 32, '001111110': 16, '111101111': 29, '011111111': 54, '101110110': 2, '111111010': 16, '001111111': 7, '101111111': 43, '011111100': 5, '111101110': 10, '111011101': 4, '111110011': 11, '101111110': 15, '111100110': 12, '111011110': 23, '011110111': 2, '011011111': 2, '100111110': 3, '111101011': 3, '111011100': 6, '111111001': 13, '111011011': 2, '011111110': 6, '110111110': 10, '111110100': 2, '111001111': 10, '110111111': 19, '111110010': 17, '111110110': 13, '111010001': 1, '111001110': 6, '100111111': 7, '000011111': 1, '001111100': 1, '110111011': 2, '111110001': 2, '110011111': 7, '101111100': 1, '111010010': 1, '100111101': 1, '010111111': 1, '101110010': 1, '101111101': 2, '111011010': 3, '111101100': 1, '111011000': 1, '101110111': 1, '011111000': 2, '110011110': 5, '110010101': 1, '111101101': 1, '011111011': 2, '001111101': 1, '001111011': 1, '111100101': 2, '011101111': 1, '101100010': 1, '111001101': 1, '110111101': 1, '111001100': 1, '110111100': 1, '111110101': 2, '101111011': 1, '110101110': 1, '001101110': 1, '010111110': 1, '101011111': 1, '110101100': 1, '110111010': 1, '001011110': 1, '110011100': 1}","{'111111111': 2911, '111111110': 180, '111011111': 102, '001111100': 1, '111111011': 135, '111111010': 24, '001111101': 2, '111111100': 180, '110111110': 13, '001111110': 10, '111001111': 11, '111111101': 70, '111101000': 2, '111110010': 15, '101111101': 3, '110001110': 2, '111110011': 9, '111101100': 9, '111111001': 13, '110111111': 25, '111100110': 8, '111110111': 27, '011111111': 57, '111101111': 36, '111011110': 14, '101100110': 1, '101111111': 52, '111101110': 7, '011111110': 10, '101111110': 15, '111111000': 17, '011111101': 4, '111110110': 9, '110011110': 9, '111101011': 5, '111100111': 16, '011011111': 2, '001110010': 1, '001111111': 3, '111110000': 2, '011011011': 1, '100110111': 1, '111101101': 2, '111001110': 8, '100111111': 5, '111000110': 1, '101111011': 3, '110111101': 3, '011111100': 3, '101011111': 1, '110101111': 1, '110011111': 7, '001111011': 1, '111011001': 1, '110011011': 2, '110111011': 1, '111110100': 6, '101101010': 1, '111101010': 1, '111011011': 2, '111011100': 5, '110111100': 1, '111100101': 2, '101000010': 1, '111001011': 1, '111100011': 1, '111010010': 1, '100111110': 3, '111100000': 1, '101110111': 1, '101111010': 2, '111010111': 1, '011111011': 1, '111011101': 1, '111010001': 1, '101111100': 2, '100111101': 1, '111100010': 1, '101101111': 1, '111001100': 1, '111100001': 1, '110011001': 1, '011110010': 1, '101110110': 1}","[1.0, 0.714111328125, 0.7060546875000001, 0.710693359375]","[0.714111328125, 0.7060546875000001, 0.710693359375]"
0,d4mttr86ggmc738rnjng,10,4096,{'1111111111': 4096},{'1111111111': 4096},"{'1111111111': 2745, '1111110110': 10, '1110111111': 257, '0101101110': 1, '1111111100': 51, '1111111101': 46, '1111111110': 263, '1111011111': 45, '1110110111': 8, '0110111111': 3, '0111111111': 50, '1010111110': 6, '1011111111': 75, '1101111111': 56, '1111101111': 36, '1100111111': 15, '1010111111': 10, '1110011111': 11, '1101001010': 1, '1111111000': 12, '1111001111': 13, '1110001110': 6, '1111110111': 32, '1111111011': 27, '1001111111': 8, '1111100111': 11, '1101111110': 7, '1101110111': 1, '1110111110': 21, '1111111001': 5, '0111111011': 2, '1111000110': 1, '1110100110': 4, '1011111110': 25, '1101001111': 3, '1011110111': 1, '1110011110': 12, '1000011100': 1, '1111110010': 15, '1111011101': 3, '1011011111': 1, '1110111011': 2, '1111111010': 8, '0101011011': 1, '1111010111': 4, '1100111110': 10, '1111101110': 7, '1110111101': 8, '1111110011': 16, '1111100110': 8, '1111001110': 19, '1101011111': 3, '0011111111': 4, '1011111010': 2, '1111010110': 2, '0101111111': 3, '1110101111': 7, '0111111110': 10, '1111010011': 1, '1001111110': 3, '1100101111': 2, '1111011110': 3, '1011110110': 1, '1001111100': 2, '1010001111': 1, '1111101010': 1, '1000111111': 2, '1100011111': 1, '0011110001': 1, '1100001111': 3, '1110111100': 7, '1011011110': 2, '1010001100': 1, '1010011110': 1, '0111101110': 1, '1010001110': 1, '1011111101': 1, '1110001111': 3, '1111110000': 1, '1100001110': 2, '1111110101': 1, '1000011111': 1, '1100101110': 1, '1100100111': 1, '0111011111': 1, '1101101111': 2, '1100111101': 2, '1010110010': 1, '1110111001': 1, '1111011011': 1, '1011001110': 1, '0111110110': 1, '1101111101': 3, '1011110010': 1, '1011111001': 1, '1101101110': 1, '1011101111': 1, '1100011110': 1, '0100111110': 1, '1011111100': 2, '1101001110': 3, '1000111110': 1, '1111001100': 1, '0111111100': 1, '1110101110': 1, '1110101100': 1, '1111011100': 1, '1110011010': 1, '1001101100': 1, '0101111110': 1, '0011111110': 2, '1100010110': 1, '1111001101': 1}","{'1111111111': 2706, '1111011111': 57, '0111111111': 53, '1111111110': 368, '1110111111': 229, '1011111111': 77, '1111111100': 32, '1001111110': 6, '1111110111': 59, '1111111101': 46, '1101111111': 35, '1111011101': 2, '1111111011': 30, '1111011011': 1, '1111001111': 17, '0111111110': 15, '1110111110': 31, '1111110010': 12, '1111001110': 13, '1010111110': 3, '1111100110': 11, '1110101000': 1, '1110011111': 18, '1111111000': 10, '1111101111': 32, '1111010110': 1, '1011110111': 4, '1110111011': 1, '1101011110': 5, '1111101010': 1, '1111011110': 6, '1100111111': 10, '1111110011': 10, '1011111110': 21, '1100011110': 1, '0110111110': 3, '1111100111': 6, '1110110110': 3, '1011001111': 2, '0011111011': 1, '1100111110': 18, '1111101110': 10, '1110110111': 5, '1101110110': 1, '1010111111': 7, '1111111010': 7, '1110110010': 3, '1101001111': 1, '0011111111': 5, '1111100000': 1, '1110101111': 7, '1010110111': 2, '1101101111': 2, '1011110110': 1, '1110011110': 3, '1110110100': 1, '1111111001': 6, '1001111111': 8, '0110111010': 1, '1111110110': 7, '1101111110': 9, '0111110111': 2, '0110111111': 1, '1101011111': 3, '1000111111': 3, '0101100110': 1, '1011111101': 1, '0011111110': 3, '0010011111': 1, '1101010011': 1, '1111011100': 1, '0110011111': 1, '1110011101': 1, '0100111111': 1, '1001111101': 1, '1101111010': 1, '1000111110': 1, '1110110011': 2, '0111111101': 3, '1101110111': 1, '1111110101': 1, '1111010111': 1, '0111001111': 1, '1010101111': 1, '1111101100': 2, '0100111110': 1, '0101111110': 1, '1011111010': 1, '1101100110': 1, '1011011111': 1, '1110001110': 1, '1111010101': 1, '1010011110': 1, '1111001101': 1, '1111011010': 1, '0101111111': 1, '0011110011': 1, '1101111100': 1, '1110100110': 1, '0111101111': 2, '1110111000': 1}","{'1111111111': 2676, '1101111111': 39, '1111111110': 325, '1011111111': 89, '1111110011': 19, '1101111110': 16, '1111100111': 8, '1111111101': 43, '1110111111': 236, '1110011110': 3, '1111101111': 48, '1111011111': 48, '1111110111': 42, '1111110010': 16, '0111111111': 57, '1111111011': 32, '1110010101': 1, '1110111110': 32, '1111100110': 9, '1111111100': 25, '1111110110': 9, '1101011110': 2, '1111111010': 14, '1011111110': 21, '1111000111': 4, '1111001010': 1, '1111111001': 9, '1101001110': 2, '1100111111': 16, '0111111011': 1, '1110111101': 8, '1111001110': 10, '0111111110': 21, '1110111001': 1, '1111001111': 11, '1110011111': 20, '1110010011': 1, '1111111000': 11, '0110111111': 3, '0011111111': 5, '1111011110': 14, '1011011111': 1, '0001111110': 3, '1110111010': 2, '1111010000': 1, '1101111100': 2, '0101111110': 4, '1110001110': 2, '1111110101': 3, '0011110011': 1, '1110111011': 4, '1110101111': 2, '1100101110': 1, '1111101110': 11, '1101110011': 1, '1011111101': 1, '1100111110': 7, '1001111111': 5, '1111010111': 3, '1111101011': 3, '0110011110': 2, '1001101110': 1, '1010111111': 5, '1011110010': 1, '0011110010': 1, '1111100011': 1, '1111001101': 2, '1111000110': 1, '0011111100': 1, '0011111110': 5, '1101011111': 2, '1101101111': 6, '1110001111': 1, '1011111001': 1, '1111011011': 2, '1110100111': 1, '0111111100': 2, '0101111111': 3, '1101111101': 1, '1010111110': 2, '1010011110': 2, '1001111110': 8, '1110110010': 3, '1101111000': 1, '0111011110': 1, '1011110111': 1, '1111110100': 1, '1110011101': 1, '1111110000': 1, '1110011011': 1, '1111101001': 1, '1000111111': 2, '1110011100': 1, '1000111110': 1, '0111100111': 1, '1100111101': 1, '1100111100': 1, '1110010111': 1, '0111110011': 1, '0111001111': 1, '1101111001': 1, '0001111111': 1, '1100011111': 1, '1010100111': 1, '1100010010': 1, '1011111010': 1, '1100110010': 2, '1100011001': 1, '1111101010': 1, '1110101110': 1, '1111011101': 1, '1000011110': 1, '0100111111': 1, '1111101100': 1, '0101011110': 1, '1100011110': 1, '0111101111': 1, '1010011111': 1}","[1.0, 0.670166015625, 0.66064453125, 0.6533203125]","[0.670166015625, 0.66064453125, 0.6533203125]"
1,d4mttuc7eg9s7398rs00,7,4096,{'1111111': 4096},{'1111111': 4096},"{'1111111': 3311, '0011110': 14, '0011111': 10, '1111110': 123, '1111101': 52, '1110111': 103, '1111100': 31, '0111110': 15, '0111111': 44, '1011111': 148, '1111011': 49, '1101111': 26, '1111001': 5, '1100111': 22, '0110111': 5, '1100110': 24, '1111010': 8, '1010111': 4, '1110101': 3, '1101001': 1, '1001110': 6, '1110110': 20, '1010110': 3, '0001111': 4, '1011110': 20, '1101100': 1, '1111000': 3, '1001111': 8, '0101110': 2, '1011100': 1, '1101110': 5, '1110011': 4, '1010011': 1, '1110100': 1, '0001110': 1, '0101111': 4, '1110010': 3, '1011101': 3, '1000110': 1, '0011011': 1, '0011001': 1, '1011010': 1, '0011000': 1, '1011000': 1, '1000111': 1, '1100010': 1}","{'1111111': 3338, '1011111': 150, '1110111': 113, '1111101': 55, '1111001': 15, '1011101': 3, '1111110': 112, '1110110': 22, '1111100': 25, '0111111': 43, '1111010': 9, '1110010': 10, '1101111': 24, '1011110': 13, '1110101': 3, '1100111': 15, '1111000': 17, '1101110': 17, '0011111': 7, '1111011': 28, '1100110': 5, '1110011': 14, '0011110': 11, '1001110': 2, '1010111': 7, '0010010': 1, '1000110': 2, '0110000': 1, '0111110': 7, '1011100': 3, '0101111': 1, '1110100': 2, '1001111': 4, '0001110': 1, '1101100': 1, '0100110': 1, '1100011': 1, '1101001': 1, '1010010': 1, '1011011': 2, '1011010': 1, '0110111': 1, '0111011': 1, '1011001': 1, '1101101': 1, '0011010': 1, '1110000': 1, '1100000': 1, '0100000': 1}","{'1111111': 3309, '0111111': 46, '1011111': 145, '0111110': 10, '0011111': 10, '1111110': 149, '1111100': 24, '0010001': 1, '1101100': 2, '1101110': 11, '0011110': 18, '1110000': 2, '1011000': 2, '1111011': 37, '1110111': 96, '1111001': 18, '1111101': 60, '1111010': 7, '1101010': 2, '0010110': 1, '1101111': 22, '1100111': 8, '1001110': 3, '1110011': 12, '1110110': 25, '1010111': 4, '1111000': 16, '1001111': 6, '1100110': 6, '1010010': 2, '1110010': 6, '1110101': 4, '1011011': 4, '1011110': 15, '1011101': 2, '1011001': 1, '0011101': 1, '1011100': 1, '0001111': 2, '0000111': 1, '0110010': 1, '0111000': 1, '0110111': 2, '0111101': 1}","[1.0, 0.8083496093750001, 0.8149414062499999, 0.807861328125]","[0.8083496093750001, 0.8149414062499999, 0.807861328125]"
1,d4mttvch0bas73fat0fg,8,4096,{'11111111': 4096},{'11111111': 4096},"{'11101111': 44, '11111111': 3201, '11111110': 204, '11000111': 1, '11111101': 145, '11110011': 28, '10111111': 53, '11111011': 36, '01111110': 7, '11110111': 75, '11100110': 4, '11100111': 3, '11011001': 1, '11110010': 7, '11111100': 22, '11001110': 5, '11001111': 5, '11111010': 7, '01111111': 51, '01111011': 1, '11011110': 11, '00101111': 2, '10011111': 8, '11111001': 14, '11111000': 21, '10011110': 3, '11101110': 7, '11011111': 48, '00111111': 9, '11110110': 10, '11011101': 5, '11110101': 6, '01011111': 6, '11101101': 2, '00111110': 5, '10111110': 10, '01111101': 3, '11110000': 2, '10111101': 4, '11010111': 1, '10011011': 1, '00011111': 1, '10101111': 1, '10010110': 1, '11011010': 2, '01001110': 1, '01110111': 1, '11101000': 1, '11001101': 1, '11110100': 2, '01110011': 1, '11110001': 1, '00011110': 1, '11010011': 2, '11000110': 1, '10111100': 1}","{'11111111': 3120, '00011111': 1, '11011111': 77, '11110111': 57, '11101111': 35, '01111110': 9, '11111110': 229, '11001111': 12, '11111000': 28, '10011110': 8, '11111101': 149, '01111111': 54, '11110110': 14, '11110010': 7, '11111011': 36, '11111001': 25, '11100110': 10, '10111111': 51, '11011110': 16, '00111111': 5, '11111100': 34, '11101110': 16, '01011111': 3, '11110101': 4, '10110111': 3, '11110011': 6, '10111110': 12, '11100000': 1, '11011101': 5, '11001110': 5, '01011100': 1, '11000111': 2, '10101111': 1, '10110001': 1, '10011111': 9, '11011001': 1, '11100111': 9, '11100100': 2, '01111100': 1, '11111010': 12, '00111110': 4, '11101100': 2, '11100010': 1, '11001100': 1, '11011011': 2, '10111101': 2, '01110011': 1, '11101000': 1, '11010111': 2, '01100110': 1, '01111101': 1, '00011110': 1, '10111100': 1, '11100011': 1, '01110111': 1, '11110000': 1, '10101110': 1, '11101101': 1}","{'10111111': 56, '11111111': 3184, '11111101': 145, '11110100': 3, '11101110': 10, '11111110': 216, '01111110': 9, '11011110': 9, '11110110': 15, '01111111': 71, '11111000': 30, '11110111': 51, '11101111': 25, '11110011': 7, '10111110': 17, '11011001': 1, '11111001': 17, '11111100': 24, '11011111': 48, '01011011': 1, '10010111': 1, '11111010': 12, '11100110': 9, '11110010': 9, '11010101': 1, '00111111': 5, '01110110': 2, '01011110': 4, '11111011': 41, '01100111': 2, '10101111': 1, '10111101': 2, '11100111': 9, '01111011': 1, '01110111': 1, '11001110': 8, '11010111': 1, '11110101': 4, '01111101': 4, '11011000': 1, '11101100': 1, '11101101': 1, '01011111': 2, '11010110': 3, '00111110': 2, '11011011': 2, '01101110': 1, '11011101': 2, '00111101': 1, '10001111': 1, '11001011': 1, '10111001': 2, '11001111': 4, '11110001': 1, '10111000': 2, '10011111': 4, '10011110': 1, '11000110': 1, '10111011': 2, '11000011': 1, '10111100': 2, '00100101': 1, '10110111': 1}","[1.0, 0.781494140625, 0.76171875, 0.77734375]","[0.781494140625, 0.76171875, 0.77734375]"
1,d4mtu01n1t7c73dgrbe0,9,4096,{'111111111': 4096},{'111111111': 4096},"{'111111111': 2870, '111111110': 248, '111111011': 80, '111111100': 34, '110111111': 50, '111011111': 77, '111111001': 15, '111111000': 15, '101111111': 157, '011111111': 50, '111101110': 8, '110111011': 2, '110010011': 2, '110011110': 13, '101011110': 2, '001111111': 25, '110011111': 11, '101111110': 19, '111110011': 7, '000111111': 4, '111110111': 38, '110111110': 22, '111110110': 17, '100111111': 6, '111101111': 35, '011111101': 2, '111111101': 70, '111001111': 10, '110111010': 1, '001111110': 8, '111110101': 1, '111110000': 1, '111001110': 16, '110011011': 2, '000111110': 3, '111011110': 22, '101111011': 7, '111111010': 11, '001110110': 2, '011101110': 1, '100111011': 1, '101011111': 8, '010111111': 6, '111110010': 8, '111100111': 6, '111100110': 8, '011111110': 13, '101111100': 1, '101110011': 2, '111110100': 4, '010111110': 4, '110101111': 2, '100011110': 3, '111101011': 6, '100011111': 3, '011111100': 1, '100110111': 1, '101101111': 2, '100111110': 5, '011001110': 1, '111000110': 1, '101011011': 2, '101111001': 1, '100011011': 1, '110001110': 1, '011000111': 1, '101100111': 2, '101110110': 1, '110111100': 3, '111011011': 2, '101001110': 2, '101111010': 1, '110111101': 1, '101111101': 2, '011111011': 1, '101001111': 1, '001101110': 1, '111001101': 3, '101110111': 1, '111000111': 1, '001111001': 1, '101111000': 1, '111110001': 1, '111100000': 1, '001110010': 1, '110011010': 1, '111010111': 1, '000111101': 1, '111010011': 1, '011111001': 1, '111011101': 2, '110110111': 1, '101101110': 1, '111010110': 1, '110101110': 1, '001111101': 1, '111011100': 1}","{'111111111': 2816, '111101100': 3, '111111010': 14, '111110010': 8, '111111011': 99, '111111101': 82, '111011110': 20, '111111100': 173, '101111101': 7, '111101111': 23, '101111111': 153, '111001110': 10, '111011111': 87, '001111100': 1, '111111110': 182, '111100111': 18, '110111111': 26, '111110101': 3, '110011110': 11, '111110111': 37, '011111110': 9, '111110011': 11, '101001110': 1, '111111001': 13, '110011111': 6, '001111111': 9, '110111110': 20, '111100110': 15, '110001111': 1, '011111111': 46, '001111110': 14, '010111110': 1, '101111110': 17, '111101010': 1, '111001111': 10, '111011101': 1, '111101101': 4, '100111111': 8, '110111100': 2, '101011111': 8, '101111100': 12, '011111100': 3, '111110110': 9, '111101110': 8, '111100101': 1, '111011100': 6, '001111101': 4, '111111000': 13, '101010111': 2, '111010111': 4, '100011111': 1, '110110110': 1, '111110100': 5, '011111101': 5, '111011000': 1, '111001010': 1, '110111101': 2, '011100110': 1, '110010110': 1, '110101110': 2, '101110110': 1, '111011011': 1, '001111000': 1, '101111000': 1, '011001111': 3, '110011011': 1, '111010000': 2, '110011101': 2, '111010110': 2, '101110010': 3, '100011110': 1, '101001111': 1, '111110001': 2, '111000110': 2, '101111011': 6, '111010101': 1, '011111011': 1, '110101111': 1, '101111010': 2, '101011011': 1, '110100110': 1, '011101111': 1, '111101000': 1, '010111111': 1, '111101011': 1, '111110000': 1, '111010100': 1, '111010011': 1, '011011001': 1}","{'111111010': 13, '111111001': 17, '111111111': 2851, '101111111': 154, '111111100': 204, '111011111': 75, '110111110': 11, '111111101': 69, '111111000': 13, '111111011': 89, '101111100': 10, '111101111': 28, '011110110': 3, '111111110': 169, '101111010': 2, '111011110': 24, '011111111': 43, '110011111': 10, '101110111': 3, '111011011': 4, '111100111': 12, '011111110': 10, '111110111': 43, '111100110': 11, '001111010': 1, '110111111': 23, '111011000': 1, '001111111': 16, '111110010': 11, '101101001': 1, '111010111': 3, '111100101': 1, '101011111': 5, '101111110': 22, '111101110': 9, '111110011': 11, '101111011': 5, '001111110': 13, '111001111': 12, '111101100': 3, '111011100': 5, '101111000': 1, '111100010': 2, '000011111': 1, '011001111': 2, '110111101': 1, '111100001': 1, '111101101': 2, '111110110': 9, '110011110': 4, '001111011': 2, '101111101': 3, '110101111': 1, '111001101': 1, '111110101': 5, '111011101': 1, '100111111': 3, '011100110': 2, '001011111': 1, '111010010': 2, '111011001': 2, '111110100': 3, '101110011': 1, '111001110': 5, '111100100': 1, '101011100': 1, '011111101': 1, '100011110': 2, '010111110': 1, '101110110': 2, '001101110': 1, '101100110': 1, '110111100': 1, '111001100': 1, '110011101': 2, '110100111': 1, '100111010': 1, '011111100': 2, '100111110': 2, '011111010': 2, '101111001': 1, '101011110': 1, '111010101': 1, '111101001': 1, '101101011': 1, '101110010': 1, '011110111': 1, '100011111': 1, '000111110': 1}","[1.0, 0.7006835937499999, 0.6875, 0.6960449218750001]","[0.7006835937499999, 0.6875, 0.6960449218750001]"
